date,food_id,food_name,category,predicted_demand,forecasted_7_day_demand,mae,rmse,forecast_source
2026-08-01,1,Rice,Cooked Food,50.55,347.4,6.3,8.21,LSTM_FOOD
2026-08-02,1,Rice,Cooked Food,50.01,347.4,6.3,8.21,LSTM_FOOD
2026-08-03,1,Rice,Cooked Food,49.16,347.4,6.3,8.21,LSTM_FOOD
2026-08-04,1,Rice,Cooked Food,49.3,347.4,6.3,8.21,LSTM_FOOD
2026-08-05,1,Rice,Cooked Food,49.3,347.4,6.3,8.21,LSTM_FOOD
2026-08-06,1,Rice,Cooked Food,49.57,347.4,6.3,8.21,LSTM_FOOD
2026-08-07,1,Rice,Cooked Food,49.51,347.4,6.3,8.21,LSTM_FOOD
2026-08-01,2,Chapati,Bakery,58.93,413.87,7.73,9.85,LSTM_FOOD
2026-08-02,2,Chapati,Bakery,58.94,413.87,7.73,9.85,LSTM_FOOD
2026-08-03,2,Chapati,Bakery,58.95,413.87,7.73,9.85,LSTM_FOOD
2026-08-04,2,Chapati,Bakery,59.23,413.87,7.73,9.85,LSTM_FOOD
2026-08-05,2,Chapati,Bakery,59.29,413.87,7.73,9.85,LSTM_FOOD
2026-08-06,2,Chapati,Bakery,59.19,413.87,7.73,9.85,LSTM_FOOD
2026-08-07,2,Chapati,Bakery,59.34,413.87,7.73,9.85,LSTM_FOOD
2026-08-01,3,Vegetable Curry,Cooked Food,37.66,262.05,5.04,6.33,LSTM_FOOD
2026-08-02,3,Vegetable Curry,Cooked Food,37.63,262.05,5.04,6.33,LSTM_FOOD
2026-08-03,3,Vegetable Curry,Cooked Food,37.35,262.05,5.04,6.33,LSTM_FOOD
2026-08-04,3,Vegetable Curry,Cooked Food,37.18,262.05,5.04,6.33,LSTM_FOOD
2026-08-05,3,Vegetable Curry,Cooked Food,37.35,262.05,5.04,6.33,LSTM_FOOD
2026-08-06,3,Vegetable Curry,Cooked Food,37.31,262.05,5.04,6.33,LSTM_FOOD
2026-08-07,3,Vegetable Curry,Cooked Food,37.57,262.05,5.04,6.33,LSTM_FOOD
2026-08-01,4,Dal,Cooked Food,33.85,235.73,3.85,4.84,LSTM_FOOD
2026-08-02,4,Dal,Cooked Food,33.93,235.73,3.85,4.84,LSTM_FOOD
2026-08-03,4,Dal,Cooked Food,33.62,235.73,3.85,4.84,LSTM_FOOD
2026-08-04,4,Dal,Cooked Food,33.37,235.73,3.85,4.84,LSTM_FOOD
2026-08-05,4,Dal,Cooked Food,33.41,235.73,3.85,4.84,LSTM_FOOD
2026-08-06,4,Dal,Cooked Food,33.74,235.73,3.85,4.84,LSTM_FOOD
2026-08-07,4,Dal,Cooked Food,33.81,235.73,3.85,4.84,LSTM_FOOD
2026-08-01,5,Bread,Bakery,42.98,303.26,6.17,7.55,LSTM_FOOD
2026-08-02,5,Bread,Bakery,43.08,303.26,6.17,7.55,LSTM_FOOD
2026-08-03,5,Bread,Bakery,42.72,303.26,6.17,7.55,LSTM_FOOD
2026-08-04,5,Bread,Bakery,43.06,303.26,6.17,7.55,LSTM_FOOD
2026-08-05,5,Bread,Bakery,43.48,303.26,6.17,7.55,LSTM_FOOD
2026-08-06,5,Bread,Bakery,43.84,303.26,6.17,7.55,LSTM_FOOD
2026-08-07,5,Bread,Bakery,44.1,303.26,6.17,7.55,LSTM_FOOD
2026-08-01,6,Milk,Dairy,51.8,358.43,8.24,10.23,LSTM_FOOD
2026-08-02,6,Milk,Dairy,51.45,358.43,8.24,10.23,LSTM_FOOD
2026-08-03,6,Milk,Dairy,51.15,358.43,8.24,10.23,LSTM_FOOD
2026-08-04,6,Milk,Dairy,50.92,358.43,8.24,10.23,LSTM_FOOD
2026-08-05,6,Milk,Dairy,51.02,358.43,8.24,10.23,LSTM_FOOD
2026-08-06,6,Milk,Dairy,51.01,358.43,8.24,10.23,LSTM_FOOD
2026-08-07,6,Milk,Dairy,51.08,358.43,8.24,10.23,LSTM_FOOD
2026-08-01,7,Curd,Dairy,35.75,248.51,4.44,5.54,LSTM_FOOD
2026-08-02,7,Curd,Dairy,35.54,248.51,4.44,5.54,LSTM_FOOD
2026-08-03,7,Curd,Dairy,35.3,248.51,4.44,5.54,LSTM_FOOD
2026-08-04,7,Curd,Dairy,35.36,248.51,4.44,5.54,LSTM_FOOD
2026-08-05,7,Curd,Dairy,35.3,248.51,4.44,5.54,LSTM_FOOD
2026-08-06,7,Curd,Dairy,35.53,248.51,4.44,5.54,LSTM_FOOD
2026-08-07,7,Curd,Dairy,35.73,248.51,4.44,5.54,LSTM_FOOD
2026-08-01,8,Pulao,Cooked Food,41.75,290.85,5.65,7.51,LSTM_FOOD
2026-08-02,8,Pulao,Cooked Food,41.76,290.85,5.65,7.51,LSTM_FOOD
2026-08-03,8,Pulao,Cooked Food,41.33,290.85,5.65,7.51,LSTM_FOOD
2026-08-04,8,Pulao,Cooked Food,41.33,290.85,5.65,7.51,LSTM_FOOD
2026-08-05,8,Pulao,Cooked Food,41.46,290.85,5.65,7.51,LSTM_FOOD
2026-08-06,8,Pulao,Cooked Food,41.52,290.85,5.65,7.51,LSTM_FOOD
2026-08-07,8,Pulao,Cooked Food,41.7,290.85,5.65,7.51,LSTM_FOOD
