date,food_id,food_name,category,quantity_sold,day_of_week,day_of_month,month,week_of_year,is_weekend,rolling_7_day,rolling_14_day
2025-08-01,1,Rice,Cooked Food,47,4,1,8,31,0,47.0,47.0
2025-08-02,1,Rice,Cooked Food,52,5,2,8,31,1,49.5,49.5
2025-08-03,1,Rice,Cooked Food,55,6,3,8,31,1,51.333333333333336,51.333333333333336
2025-08-04,1,Rice,Cooked Food,58,0,4,8,32,0,53.0,53.0
2025-08-05,1,Rice,Cooked Food,45,1,5,8,32,0,51.4,51.4
2025-08-06,1,Rice,Cooked Food,48,2,6,8,32,0,50.833333333333336,50.833333333333336
2025-08-07,1,Rice,Cooked Food,47,3,7,8,32,0,50.285714285714285,50.285714285714285
2025-08-08,1,Rice,Cooked Food,39,4,8,8,32,0,49.142857142857146,48.875
2025-08-09,1,Rice,Cooked Food,61,5,9,8,32,1,50.42857142857143,50.22222222222222
2025-08-10,1,Rice,Cooked Food,71,6,10,8,32,1,52.714285714285715,52.3
2025-08-11,1,Rice,Cooked Food,50,0,11,8,33,0,51.57142857142857,52.09090909090909
2025-08-12,1,Rice,Cooked Food,37,1,12,8,33,0,50.42857142857143,50.833333333333336
2025-08-13,1,Rice,Cooked Food,53,2,13,8,33,0,51.142857142857146,51.0
2025-08-14,1,Rice,Cooked Food,40,3,14,8,33,0,50.142857142857146,50.214285714285715
2025-08-15,1,Rice,Cooked Food,45,4,15,8,33,0,51.0,50.07142857142857
2025-08-16,1,Rice,Cooked Food,59,5,16,8,33,1,50.714285714285715,50.57142857142857
2025-08-17,1,Rice,Cooked Food,71,6,17,8,33,1,50.714285714285715,51.714285714285715
2025-08-18,1,Rice,Cooked Food,40,0,18,8,34,0,49.285714285714285,50.42857142857143
2025-08-19,1,Rice,Cooked Food,43,1,19,8,34,0,50.142857142857146,50.285714285714285
2025-08-20,1,Rice,Cooked Food,43,2,20,8,34,0,48.714285714285715,49.92857142857143
2025-08-21,1,Rice,Cooked Food,37,3,21,8,34,0,48.285714285714285,49.214285714285715
2025-08-22,1,Rice,Cooked Food,39,4,22,8,34,0,47.42857142857143,49.214285714285715
2025-08-23,1,Rice,Cooked Food,45,5,23,8,34,1,45.42857142857143,48.07142857142857
2025-08-24,1,Rice,Cooked Food,59,6,24,8,34,1,43.714285714285715,47.214285714285715
2025-08-25,1,Rice,Cooked Food,44,0,25,8,35,0,44.285714285714285,46.785714285714285
2025-08-26,1,Rice,Cooked Food,53,1,26,8,35,0,45.714285714285715,47.92857142857143
2025-08-27,1,Rice,Cooked Food,42,2,27,8,35,0,45.57142857142857,47.142857142857146
2025-08-28,1,Rice,Cooked Food,46,3,28,8,35,0,46.857142857142854,47.57142857142857
2025-08-29,1,Rice,Cooked Food,37,4,29,8,35,0,46.57142857142857,47.0
2025-08-30,1,Rice,Cooked Food,56,5,30,8,35,1,48.142857142857146,46.785714285714285
2025-08-31,1,Rice,Cooked Food,60,6,31,8,35,1,48.285714285714285,46.0
2025-09-01,1,Rice,Cooked Food,52,0,1,9,36,0,49.42857142857143,46.857142857142854
2025-09-02,1,Rice,Cooked Food,37,1,2,9,36,0,47.142857142857146,46.42857142857143
2025-09-03,1,Rice,Cooked Food,51,2,3,9,36,0,48.42857142857143,47.0
2025-09-04,1,Rice,Cooked Food,47,3,4,9,36,0,48.57142857142857,47.714285714285715
2025-09-05,1,Rice,Cooked Food,48,4,5,9,36,0,50.142857142857146,48.357142857142854
2025-09-06,1,Rice,Cooked Food,52,5,6,9,36,1,49.57142857142857,48.857142857142854
2025-09-07,1,Rice,Cooked Food,60,6,7,9,36,1,49.57142857142857,48.92857142857143
2025-09-08,1,Rice,Cooked Food,42,0,8,9,37,0,48.142857142857146,48.785714285714285
2025-09-09,1,Rice,Cooked Food,40,1,9,9,37,0,48.57142857142857,47.857142857142854
2025-09-10,1,Rice,Cooked Food,51,2,10,9,37,0,48.57142857142857,48.5
2025-09-11,1,Rice,Cooked Food,50,3,11,9,37,0,49.0,48.785714285714285
2025-09-12,1,Rice,Cooked Food,40,4,12,9,37,0,47.857142857142854,49.0
2025-09-13,1,Rice,Cooked Food,50,5,13,9,37,1,47.57142857142857,48.57142857142857
2025-09-14,1,Rice,Cooked Food,73,6,14,9,37,1,49.42857142857143,49.5
2025-09-15,1,Rice,Cooked Food,54,0,15,9,38,0,51.142857142857146,49.642857142857146
2025-09-16,1,Rice,Cooked Food,36,1,16,9,38,0,50.57142857142857,49.57142857142857
2025-09-17,1,Rice,Cooked Food,47,2,17,9,38,0,50.0,49.285714285714285
2025-09-18,1,Rice,Cooked Food,43,3,18,9,38,0,49.0,49.0
2025-09-19,1,Rice,Cooked Food,41,4,19,9,38,0,49.142857142857146,48.5
2025-09-20,1,Rice,Cooked Food,52,5,20,9,38,1,49.42857142857143,48.5
2025-09-21,1,Rice,Cooked Food,65,6,21,9,38,1,48.285714285714285,48.857142857142854
2025-09-22,1,Rice,Cooked Food,44,0,22,9,39,0,46.857142857142854,49.0
2025-09-23,1,Rice,Cooked Food,44,1,23,9,39,0,48.0,49.285714285714285
2025-09-24,1,Rice,Cooked Food,39,2,24,9,39,0,46.857142857142854,48.42857142857143
2025-09-25,1,Rice,Cooked Food,48,3,25,9,39,0,47.57142857142857,48.285714285714285
2025-09-26,1,Rice,Cooked Food,50,4,26,9,39,0,48.857142857142854,49.0
2025-09-27,1,Rice,Cooked Food,59,5,27,9,39,1,49.857142857142854,49.642857142857146
2025-09-28,1,Rice,Cooked Food,63,6,28,9,39,1,49.57142857142857,48.92857142857143
2025-09-29,1,Rice,Cooked Food,47,0,29,9,40,0,50.0,48.42857142857143
2025-09-30,1,Rice,Cooked Food,42,1,30,9,40,0,49.714285714285715,48.857142857142854
2025-10-01,1,Rice,Cooked Food,45,2,1,10,40,0,50.57142857142857,48.714285714285715
2025-10-02,1,Rice,Cooked Food,43,3,2,10,40,0,49.857142857142854,48.714285714285715
2025-10-03,1,Rice,Cooked Food,36,4,3,10,40,0,47.857142857142854,48.357142857142854
2025-10-04,1,Rice,Cooked Food,59,5,4,10,40,1,47.857142857142854,48.857142857142854
2025-10-05,1,Rice,Cooked Food,74,6,5,10,40,1,49.42857142857143,49.5
2025-10-06,1,Rice,Cooked Food,40,0,6,10,41,0,48.42857142857143,49.214285714285715
2025-10-07,1,Rice,Cooked Food,39,1,7,10,41,0,48.0,48.857142857142854
2025-10-08,1,Rice,Cooked Food,41,2,8,10,41,0,47.42857142857143,49.0
2025-10-09,1,Rice,Cooked Food,37,3,9,10,41,0,46.57142857142857,48.214285714285715
2025-10-10,1,Rice,Cooked Food,43,4,10,10,41,0,47.57142857142857,47.714285714285715
2025-10-11,1,Rice,Cooked Food,56,5,11,10,41,1,47.142857142857146,47.5
2025-10-12,1,Rice,Cooked Food,63,6,12,10,41,1,45.57142857142857,47.5
2025-10-13,1,Rice,Cooked Food,57,0,13,10,42,0,48.0,48.214285714285715
2025-10-14,1,Rice,Cooked Food,39,1,14,10,42,0,48.0,48.0
2025-10-15,1,Rice,Cooked Food,37,2,15,10,42,0,47.42857142857143,47.42857142857143
2025-10-16,1,Rice,Cooked Food,37,3,16,10,42,0,47.42857142857143,47.0
2025-10-17,1,Rice,Cooked Food,49,4,17,10,42,0,48.285714285714285,47.92857142857143
2025-10-18,1,Rice,Cooked Food,54,5,18,10,42,1,48.0,47.57142857142857
2025-10-19,1,Rice,Cooked Food,56,6,19,10,42,1,47.0,46.285714285714285
2025-10-20,1,Rice,Cooked Food,58,0,20,10,43,0,47.142857142857146,47.57142857142857
2025-10-21,1,Rice,Cooked Food,44,1,21,10,43,0,47.857142857142854,47.92857142857143
2025-10-22,1,Rice,Cooked Food,37,2,22,10,43,0,47.857142857142854,47.642857142857146
2025-10-23,1,Rice,Cooked Food,49,3,23,10,43,0,49.57142857142857,48.5
2025-10-24,1,Rice,Cooked Food,53,4,24,10,43,0,50.142857142857146,49.214285714285715
2025-10-25,1,Rice,Cooked Food,57,5,25,10,43,1,50.57142857142857,49.285714285714285
2025-10-26,1,Rice,Cooked Food,55,6,26,10,43,1,50.42857142857143,48.714285714285715
2025-10-27,1,Rice,Cooked Food,52,0,27,10,44,0,49.57142857142857,48.357142857142854
2025-10-28,1,Rice,Cooked Food,38,1,28,10,44,0,48.714285714285715,48.285714285714285
2025-10-29,1,Rice,Cooked Food,52,2,29,10,44,0,50.857142857142854,49.357142857142854
2025-10-30,1,Rice,Cooked Food,37,3,30,10,44,0,49.142857142857146,49.357142857142854
2025-10-31,1,Rice,Cooked Food,36,4,31,10,44,0,46.714285714285715,48.42857142857143
2025-11-01,1,Rice,Cooked Food,53,5,1,11,44,1,46.142857142857146,48.357142857142854
2025-11-02,1,Rice,Cooked Food,56,6,2,11,44,1,46.285714285714285,48.357142857142854
2025-11-03,1,Rice,Cooked Food,47,0,3,11,45,0,45.57142857142857,47.57142857142857
2025-11-04,1,Rice,Cooked Food,49,1,4,11,45,0,47.142857142857146,47.92857142857143
2025-11-05,1,Rice,Cooked Food,38,2,5,11,45,0,45.142857142857146,48.0
2025-11-06,1,Rice,Cooked Food,53,3,6,11,45,0,47.42857142857143,48.285714285714285
2025-11-07,1,Rice,Cooked Food,40,4,7,11,45,0,48.0,47.357142857142854
2025-11-08,1,Rice,Cooked Food,62,5,8,11,45,1,49.285714285714285,47.714285714285715
2025-11-09,1,Rice,Cooked Food,56,6,9,11,45,1,49.285714285714285,47.785714285714285
2025-11-10,1,Rice,Cooked Food,50,0,10,11,46,0,49.714285714285715,47.642857142857146
2025-11-11,1,Rice,Cooked Food,49,1,11,11,46,0,49.714285714285715,48.42857142857143
2025-11-12,1,Rice,Cooked Food,53,2,12,11,46,0,51.857142857142854,48.5
2025-11-13,1,Rice,Cooked Food,45,3,13,11,46,0,50.714285714285715,49.07142857142857
2025-11-14,1,Rice,Cooked Food,42,4,14,11,46,0,51.0,49.5
2025-11-15,1,Rice,Cooked Food,58,5,15,11,46,1,50.42857142857143,49.857142857142854
2025-11-16,1,Rice,Cooked Food,68,6,16,11,46,1,52.142857142857146,50.714285714285715
2025-11-17,1,Rice,Cooked Food,40,0,17,11,47,0,50.714285714285715,50.214285714285715
2025-11-18,1,Rice,Cooked Food,39,1,18,11,47,0,49.285714285714285,49.5
2025-11-19,1,Rice,Cooked Food,40,2,19,11,47,0,47.42857142857143,49.642857142857146
