date,food_id,food_name,category,current_stock,average_daily_demand,forecasted_demand,stock_coverage_days,waste_ratio,days_to_expiry,predicted_risk_score,predicted_risk_category,forecast_source
2026-08-18,14,Rice,Cooked Food,10.0,49.63,347.4,0.2015,0.005128,-13,49.08,MODERATE,LSTM_FOOD_NAME
2026-08-18,15,Bread,Bakery,10.0,43.32,303.26,0.2308,0.005431,-14,49.08,MODERATE,LSTM_FOOD_NAME
2026-08-18,16,milk,Dairy,10.0,51.2,358.43,0.1953,0.004718,-14,49.07,MODERATE,LSTM_FOOD_NAME
2026-08-18,17,Apple,Fruits,10.0,44.08,308.53,0.2269,0.0,-13,49.0,MODERATE,GLOBAL_HISTORY
2026-08-18,18,Banana,Fruits,10.0,44.08,308.53,0.2269,0.0,-14,49.0,MODERATE,GLOBAL_HISTORY
2026-08-18,19,Rice,Cooked Food,45.0,49.63,347.4,0.9067,0.005128,-12,49.08,MODERATE,LSTM_FOOD_NAME
2026-08-18,20,Kiwi,Fruits,10.0,44.08,308.53,0.2269,0.0,-10,49.0,MODERATE,GLOBAL_HISTORY
2026-08-18,21,Kiwi,Fruits,10.0,44.08,308.53,0.2269,0.0,-10,49.0,MODERATE,GLOBAL_HISTORY
2026-08-18,22,jack,Fruits,20.0,44.08,308.53,0.4538,0.0,-1,49.0,MODERATE,GLOBAL_HISTORY
2026-08-18,23,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,1,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,24,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,25,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,26,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,27,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,28,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,29,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,30,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,31,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,32,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,33,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,34,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,35,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,36,Grapes,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,37,Apple,Fruits,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,38,papaya,Fruits,10.0,44.08,308.53,0.2269,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
2026-08-18,39,cucumber,Vegetables,20.0,44.08,308.53,0.4538,0.0,2,44.5,MODERATE,GLOBAL_HISTORY
