date,food_id,food_name,category,quantity_purchased,supplier,purchase_cost
2025-08-01,1,Rice,Grains,237,Fresh Foods Ltd,9672.75
2025-08-01,2,Chapati,Bakery,278,City Wholesale Market,3002.86
2025-08-01,3,Vegetable Curry,Cooked Food,271,Fresh Foods Ltd,17256.56
2025-08-01,4,Dal,Cooked Food,180,Fresh Foods Ltd,9753.81
2025-08-01,5,Bread,Bakery,301,Green Basket Suppliers,8234.56
2025-08-01,6,Milk,Dairy,272,Fresh Foods Ltd,10042.39
2025-08-01,7,Curd,Dairy,241,Green Basket Suppliers,11843.95
2025-08-01,8,Pulao,Prepared Food,232,City Wholesale Market,16519.38
2025-08-08,1,Rice,Grains,270,Green Basket Suppliers,10014.74
2025-08-08,2,Chapati,Bakery,300,City Wholesale Market,3810.13
2025-08-08,3,Vegetable Curry,Cooked Food,275,Green Basket Suppliers,15424.87
2025-08-08,4,Dal,Cooked Food,237,Green Basket Suppliers,11194.07
2025-08-08,5,Bread,Bakery,270,Fresh Foods Ltd,7902.98
2025-08-08,6,Milk,Dairy,360,Green Basket Suppliers,11660.92
2025-08-08,7,Curd,Dairy,229,City Wholesale Market,11027.91
2025-08-08,8,Pulao,Prepared Food,277,Local Supplier,18157.11
2025-08-15,1,Rice,Grains,267,Fresh Foods Ltd,10978.29
2025-08-15,2,Chapati,Bakery,292,City Wholesale Market,3252.16
2025-08-15,3,Vegetable Curry,Cooked Food,253,Fresh Foods Ltd,14714.92
2025-08-15,4,Dal,Cooked Food,178,Local Supplier,9472.56
2025-08-15,5,Bread,Bakery,280,Green Basket Suppliers,8310.34
2025-08-15,6,Milk,Dairy,289,Fresh Foods Ltd,10505.8
2025-08-15,7,Curd,Dairy,193,Local Supplier,9067.86
2025-08-15,8,Pulao,Prepared Food,195,City Wholesale Market,14284.96
2025-08-22,1,Rice,Grains,355,City Wholesale Market,14180.35
2025-08-22,2,Chapati,Bakery,337,City Wholesale Market,3721.64
2025-08-22,3,Vegetable Curry,Cooked Food,225,Fresh Foods Ltd,12589.17
2025-08-22,4,Dal,Cooked Food,156,Local Supplier,7480.06
