date,food_id,food_name,category,quantity_sold
2025-08-01,1,Rice,Grains,47
2025-08-01,2,Chapati,Bakery,44
2025-08-01,3,Vegetable Curry,Cooked Food,31
2025-08-01,4,Dal,Cooked Food,26
2025-08-01,5,Bread,Bakery,43
2025-08-01,6,Milk,Dairy,53
2025-08-01,7,Curd,Dairy,37
2025-08-01,8,Pulao,Prepared Food,31
2025-08-02,1,Rice,Grains,52
2025-08-02,2,Chapati,Bakery,53
2025-08-02,3,Vegetable Curry,Cooked Food,37
2025-08-02,4,Dal,Cooked Food,36
2025-08-02,5,Bread,Bakery,38
2025-08-02,6,Milk,Dairy,52
2025-08-02,7,Curd,Dairy,40
2025-08-02,8,Pulao,Prepared Food,46
2025-08-03,1,Rice,Grains,55
2025-08-03,2,Chapati,Bakery,78
2025-08-03,3,Vegetable Curry,Cooked Food,54
2025-08-03,4,Dal,Cooked Food,33
2025-08-03,5,Bread,Bakery,61
2025-08-03,6,Milk,Dairy,74
2025-08-03,7,Curd,Dairy,41
2025-08-03,8,Pulao,Prepared Food,45
2025-08-04,1,Rice,Grains,58
2025-08-04,2,Chapati,Bakery,56
2025-08-04,3,Vegetable Curry,Cooked Food,32
2025-08-04,4,Dal,Cooked Food,27
2025-08-04,5,Bread,Bakery,50
2025-08-04,6,Milk,Dairy,57
2025-08-04,7,Curd,Dairy,39
2025-08-04,8,Pulao,Prepared Food,45
2025-08-05,1,Rice,Grains,45
2025-08-05,2,Chapati,Bakery,65
2025-08-05,3,Vegetable Curry,Cooked Food,33
2025-08-05,4,Dal,Cooked Food,30
2025-08-05,5,Bread,Bakery,45
2025-08-05,6,Milk,Dairy,52
2025-08-05,7,Curd,Dairy,36
2025-08-05,8,Pulao,Prepared Food,39
2025-08-06,1,Rice,Grains,48
2025-08-06,2,Chapati,Bakery,45
2025-08-06,3,Vegetable Curry,Cooked Food,31
2025-08-06,4,Dal,Cooked Food,27
2025-08-06,5,Bread,Bakery,33
2025-08-06,6,Milk,Dairy,44
2025-08-06,7,Curd,Dairy,26
2025-08-06,8,Pulao,Prepared Food,34
2025-08-07,1,Rice,Grains,47
2025-08-07,2,Chapati,Bakery,52
2025-08-07,3,Vegetable Curry,Cooked Food,33
2025-08-07,4,Dal,Cooked Food,26
2025-08-07,5,Bread,Bakery,36
2025-08-07,6,Milk,Dairy,58
2025-08-07,7,Curd,Dairy,33
2025-08-07,8,Pulao,Prepared Food,39
2025-08-08,1,Rice,Grains,39
2025-08-08,2,Chapati,Bakery,60
2025-08-08,3,Vegetable Curry,Cooked Food,30
2025-08-08,4,Dal,Cooked Food,28
2025-08-08,5,Bread,Bakery,47
2025-08-08,6,Milk,Dairy,52
2025-08-08,7,Curd,Dairy,32
2025-08-08,8,Pulao,Prepared Food,40
2025-08-09,1,Rice,Grains,61
2025-08-09,2,Chapati,Bakery,73
2025-08-09,3,Vegetable Curry,Cooked Food,37
2025-08-09,4,Dal,Cooked Food,29
2025-08-09,5,Bread,Bakery,44
2025-08-09,6,Milk,Dairy,54
2025-08-09,7,Curd,Dairy,33
2025-08-09,8,Pulao,Prepared Food,53
2025-08-10,1,Rice,Grains,71
2025-08-10,2,Chapati,Bakery,70
2025-08-10,3,Vegetable Curry,Cooked Food,51
2025-08-10,4,Dal,Cooked Food,39
2025-08-10,5,Bread,Bakery,64
2025-08-10,6,Milk,Dairy,67
2025-08-10,7,Curd,Dairy,40
