date,food_id,food_name,category,quantity_wasted,reason
2025-08-02,2,Chapati,Bakery,9,Overproduction
2025-08-03,1,Rice,Grains,1,Unsold
2025-08-05,6,Milk,Dairy,10,Damaged
2025-08-06,5,Bread,Bakery,4,Damaged
2025-08-11,6,Milk,Dairy,6,Overproduction
2025-08-12,3,Vegetable Curry,Cooked Food,5,Unsold
2025-08-20,3,Vegetable Curry,Cooked Food,4,Expired
2025-08-21,8,Pulao,Prepared Food,2,Damaged
2025-08-23,1,Rice,Grains,7,Expired
2025-08-25,5,Bread,Bakery,8,Expired
2025-08-27,6,Milk,Dairy,6,Damaged
2025-08-28,7,Curd,Dairy,1,Damaged
2025-08-31,3,Vegetable Curry,Cooked Food,7,Damaged
2025-09-07,3,Vegetable Curry,Cooked Food,7,Unsold
2025-09-14,6,Milk,Dairy,4,Damaged
2025-09-15,5,Bread,Bakery,5,Overproduction
2025-09-16,8,Pulao,Prepared Food,7,Damaged
2025-09-20,1,Rice,Grains,3,Unsold
2025-09-24,3,Vegetable Curry,Cooked Food,4,Expired
2025-09-25,8,Pulao,Prepared Food,5,Expired
2025-09-26,7,Curd,Dairy,5,Expired
2025-09-27,3,Vegetable Curry,Cooked Food,1,Overproduction
2025-09-28,4,Dal,Cooked Food,6,Damaged
2025-09-30,3,Vegetable Curry,Cooked Food,1,Expired
2025-10-03,8,Pulao,Prepared Food,4,Damaged
2025-10-05,3,Vegetable Curry,Cooked Food,5,Overproduction
2025-10-11,6,Milk,Dairy,8,Unsold
2025-10-15,5,Bread,Bakery,1,Expired
2025-10-18,5,Bread,Bakery,8,Expired
2025-10-22,7,Curd,Dairy,3,Unsold
2025-10-25,7,Curd,Dairy,4,Unsold
2025-10-26,7,Curd,Dairy,4,Unsold
2025-10-27,7,Curd,Dairy,6,Unsold
2025-11-01,5,Bread,Bakery,7,Unsold
2025-11-03,5,Bread,Bakery,2,Overproduction
2025-11-05,8,Pulao,Prepared Food,2,Damaged
2025-11-06,1,Rice,Grains,9,Expired
